# Category, Subcategory, ROI, Name, lat, lon_e, size_km, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), UVS, JANUS HR, JANUS COLOR, JANUS STEREO, MAJIS, SWI, RIME, GALA, PEP/RPWI, J-MAG
# 1, 0, #0036fc, Polar Deposits, ---, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterize the local environment and its interaction with the Jovian magnetosphere-comparison with Ganymede (CA/GC),,,,,,,,,,
4, 2, 2, Hoenir, -33.7, 99.1, 95, -36, -29, 96, 103, Impact crater with a central pit. possibly a small central peak is still existent, Study transition between peak and pit craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 2, 3, None, -40.5, 95.7, 80, -42.5, -35, 93, 102, Impact crater with a central pit and one more ring next to a degraded dome crater, Study differences in the formation of pit craters with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 2, 4, None, 12.9, 332, 40, 11, 15.5, 330, 335, Poorly resolved possible pit crater. Additional features: fresh bright impact crater, Study differences in the formation of pit crater with respect to surface and subsurface properties. Study implications for crustal properties; study fresh impact crater, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 2, 5, Tindr, -2.3, 4.4, 70, -8, 2, 357, 10, Central pit impact crater next to dome crater Har. Additional features: impact craters of different sizes; morphology and degradation state, Study differences in the formation of dome versus pit crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 3, #9a35ff, Dome / Anomaleous Dome Craters, ---, ---, ---, ---, ---, ---, ---, Impact craters with a central dome, Study geology; composition; subsurface properties related to dome formation,,,,,,,,,,
4, 3, 1, Debegey, 10.5, 193.8, 70, 3, 13, 191, 201, Unusual dome crater next to unnamed impact craters with possible central pit, Study differences in the formation of dome and pit crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 2, Njord, 16.7, 228.2, 45, 13, 19.5, 225.5, 231.5, Dome crater with possible pedestals, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 3, Barri, -31.5, 289.6, 69, -34, -28.5, 287, 296, Bright dome crater together with impact crater Thorir showing an unusual dark fracture on the floor, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties; resolve morphology of Thorir, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 4, Oluksak, -47.8, 296.5, 87, -50, -45, 294, 300, Poorly resolved degraded dome crater, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 5, Nerrivik, -16.9, 303.6, 44, -21, -10, 298, 309, Poorly resolved bright dome crater superimposed on impact basin Valhalla. Additional features: impact craters of different morphology; size and degradation, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 6, Nori, 45.2, 16.4, 114, 42, 51, 11, 22, Possibly degraded dome crater, Study differences in the formation of dome crater with respect to surface and subsurface properties. Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 7, Grimr, 41.5, 145.4, 103.2, 37, 46, 140, 152, Possibly degraded complex dome crater superimposed by a small fresh impact crater, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 8, Alfr, -9.9, 137.3, 96, -12, -5, 134, 143, Possibly degraded complex dome crater near impact crater Loni (#4.3.10), Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 3, 9, Loni, -3.6, 145.7, 85, -7, -1, 142, 150, Possibly degraded dome crater superimposed by a small fresh impact crater, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties,
4, 3, 10, None, 27.6, 275.2, 130, 23, 32, 271, 280, Impact crater with a possible central dome and bright deposits on the crater floor, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties,
4, 3, 11, None, -6.8, 291.7, 100, -13, -1, 284, 298, Small impact crater with a dome and multiple rings superimposed on Valhalla rings, Study differences in the formation of dome crater with respect to surface and subsurface properties/ Study implications for crustal properties,
# 4, 4, #9a35ff, Pedestal Craters, ---, ---, ---, ---, ---, ---, ---, Impact craters with topographically elevated continuous ejecta blankets, Study geology; composition; topography and subsurface properties related to elevated ejecta deposits,,,,,,,,,,
4, 4, 1, Valfödr, -1.2, 113.1, 93, -5, 3, 109, 118, Poorly resolved bright impact crater with distinct continuous ejecta blanket (possible elevated), Study differences in the formation of crater morphologies (pedestals or dome) with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 4, 2, None, 54, 277.3, 60, 48.5, 59, 273, 285, Poorly resolved bright impact crater NW of Valhalla (#4.6.2) with possible pedestals or dome, Study differences in the formation of crater morphologies (pedestals or dome) with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 4, 3, None, 20.7, 320.8, 35, 19, 23, 319.5, 324, Small central pit crater with possible pedestals in the NE portion of Valhalla (#4.6.2), Study differences in the formation of crater morphologies (pit and pedestals) with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 4, 4, None, -10, 332.8, 50, -13, -7, 329, 337, Small impact crater with pronounced ejecta deposits, Study differences in the formation of crater morphologies with respect to surface and subsurface properties; study implications for crustal properties, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 5, #9a35ff, Palimpsests and Penepalimpsests, ---, ---, ---, ---, ---, ---, ---, Impact features with subdued inner-crater features, Study geology; composition; topography and subsurface properties related to palimpsests and penepalimpsests of different sizes and with different substrate,,,,,,,,,,
4, 5, 1, Kol Facula, 5.0, 77.7, 390, -3, 14, 68, 87, Presumably relatively young palimpsest including a small bright fresh impact crater Additional features: linear features; which extend into #6.1.5 and #6.1.6, Study formation of palimpsest within bright terrain; study implications for the evolution of crustal properties within bright terrain; study additional impact features; study relationships to adjacent linear featuresPresumably relatively young palimpsest including a small bright fresh impact crater Additional features: linear features; which extend into #6.1.5 and #6.1.6, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1
4, 5, 2, None, -25.2, 201.2, 280, -31, -18, 195.5, 209, High albedo feature of unknown morphology partly superimposed by fresh bright impact craters, Study formation of potential palimpsest within bright terrain; study implications for the evolution of crustal properties within bright terrain; study additional impact featuresHigh albedo feature of unknown morphology partly superimposed by fresh bright impact craters, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 5, 3, None, -32, 229.3, 290, -39, -25.5, 221, 239.5, High albedo feature of unknown morphology partly superimposed by fresh bright impact craters, Study formation of possible palimpsest within bright terrain; study implications for the evolution of crustal properties within bright terrain; study additional impact featuresHigh albedo feature of unknown morphology partly superimposed by fresh bright impact craters, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 6, #9a35ff, Impact Basins, ---, ---, ---, ---, ---, ---, ---, Multiring basins, Study geology; composition; topography and subsurface properties related to impact basins; stratigraphic marker for surface age measurements,,,,,,,,,,
4, 6, 1, Asgard, 32, 235.2, 153, 22, 40, 210, 230, Multiring basin with superimposed impact craters such as the anomalous dome crater Doh and Tornarsuk; and younger ring structure Utgard, Stratigraphic marker for measurements of surface ages; characterize details of crater morphology; look for compositional indicators for a possible excavation of ocean material, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 6, 2, Valhalla, 14.7, 304, 3000, -1, 30, 289, 317, Multiring basin superimposed by numerous other younger surface features; largest multiring structure on Callisto, Stratigraphic marker for measurements of surface ages; characterize details of crater morphology; look for compositional indicators for a possible excavation of ocean material, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
4, 6, 3, Adlinda, -48.5, 324.4, 840, -57, -36, 314, 338, Old; heavily degraded multiring basin, Stratigraphic marker for measurements of surface ages; characterize details of crater morphology; look for compositional indicators for a possible excavation of ocean material, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0
# 4, 7, #9a35ff, Catenae, ---, ---, ---, ---, ---, ---, ---, Impact crater chains, Investigate dynamical and physical impactor properties and impact mechanisms,,,,,,,,,,
4, 7, 1, Svol Catena, 10.1, 322.1, 160, 8, 13, 321, 326, Catena in the near-equatorial middle zone of the Valhalla rings - crossing the impact crater Skuld, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 2, Gomul Catena, 35.3, 313.5, 500, 30, 39, 307, 321, Catena in the northern middle zone of the Valhalla (#4.6.2). Additional features: unnamed complex (or dome) impact crater, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties; study possibly relationship to Valhalla (#4.6.2), 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 3, Eikin Catena, -8.9, 344.5, 223, -14, -2, 337, 350, Poorly resolved catena SE of Valhalla outside the rings; by chance radial to Valhalla; or secondary chain of Valhalla ejecta, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties; study possibly relationship to Valhalla (#4.6.2), 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 4, Gipul Catena, 68.5, 305.8, 641, 59, 80, 292, 330, Poorly imaged catena at high latitudes N of Valhalla; longest known crater chain on Callisto. Additional features: possible covered with polar and/or ejecta deposits of adjacent unnamed bright impact crater (#1.5), Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 5, None, 39.3, 26.1, 35, 37, 44, 24, 30, Possible double impact SE of Nori, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
4, 7, 6, None, -29, 57.9, 100, -34, -25, 55, 63, Undefined surface features with similarities to a catena with 3-4 individual craters without common rims, Study impact mechanism in sub-Jovian hemisphere in relation to surface and subsurface properties, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
# 5, 0, #19c7eb, Bright Ray Craters, ---, ---, ---, ---, ---, ---, ---, Young bright impact craters with an ex tended bright ray system, Characterise the ice shell (CA),,,,,,,,,,
5, 0, 1, Ljekio, 49.1, 197.8, 30, 47, 52, 196, 201, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 2, Nirkes, 31.6, 195.7, 50, 28, 35.5, 192, 201, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 3, Egres, 42.7, 183.4, 50, 39, 47, 181, 188, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1
5, 0, 4, Burr, 42.97, 225.8, 100, 40, 50, 220, 232, Bright fresh impact crater of unknown morphology (possible central pit) with extended ejecta deposits / rays superimposed on the outer rings of Asgard (#4.6.1), Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 5, Tornarsuk, 29.1, 233, 100, 27, 34, 230, 236, Bright fresh impact crater of unknown morphology (possible central pit) with extended ejecta deposits / rays superimposed on the outer rings of Asgard (#4.6.1), Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 6, Agloolik, -47.7, 277.6, 62, -52, -44, 272, 284, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 7, Lofn, -56.5, 337.7, 200, -69, -46, 325, 350, Large bright ray crater; extended system of bright rays with clusters and chains of secondary craters, Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 8, Heimdall, -63.5, 3, 210, -75, -50, 353, 23, Large bright ray crater; extended system of bright rays with clusters and chains of secondary craters, Study bright ray crater material with respect to the excavation depth of the crater; its age (important stratigraphic marker); evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere; study if Heimdall and Lofn are a double impact or dicrete impact events, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 9, Bran, -24.3, 154.4, 68, -30, -17, 145, 163, Bright impact dome crater with fresh ejecta deposits; albedo differences of unknown origin, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; investigate albedo differences; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 10, Igaluk, 5.6, 44, 112, 1, 11.5, 39, 50, Poorly resolved bright impact crater with a central pit and fresh presumably ejecta deposits enriched in volatiles, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 11, Askr, 51.8, 35.9, 69, 48, 56, 32, 43, Poorly resolved bright impact crater with a central pit and fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 12, Gloi, 49, 115, 115, 41, 58, 107, 125, Poorly resolved bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 13, Vili, 32.5, 144.1, 43, 30, 37, 139.5, 148.5, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 14, None, 12.4, 207.3, 70, 10, 16, 205, 211, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 15, None, -21.2, 219.3, 155, -25, -16, 215, 224, Poorly resolved small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 16, None, -22.9, 113.8, 23, -26, -20, 110, 117, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
5, 0, 17, None, 59.4, 173.9, 60, 55, 64, 167, 180, Small bright impact crater of unknown morphology with fresh ejecta deposits. Additional features: unusual dark deposits extending from the impact crater, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere; resolve nature and origin of dark deposits, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 18, None, -6.2, 50.2, 30, -10.5, -2, 46, 55, Small bright impact crater of unknown morphology with fresh ejecta deposits. Additionalfeatures: unusual dark deposits in the south of the impact crater, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere; resolve nature and origin of dark deposits, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 19, None, -48.5, 157, 50, -53, -41, 151, 163, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1
5, 0, 20, None, 19.5, 130.6, 20, 16, 23, 128, 135, Small bright impact crater of unknown morphology with fresh ejecta deposits, Study bright ray crater material with respect to the excavation depth of the crater; its age; evolution of ray systems; study possible subsurface reservoir of volatiles with implications for the atmosphere, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1
# 6, 0, #e4b015, Resurfaced Terrain, ---, ---, ---, ---, ---, ---, ---, Tectonic resurfacing, Characterize theoutershell/Study past activity (CA/CC),,,,,,,,,,
# 6, 1, #e4b015, Grooves / Fractures, ---, ---, ---, ---, ---, ---, ---, Possible incipient resurfacing, Characterize surface and subsurface properties and investigate formation and deformation style of incipient resurfacing related and/or unrelated to impact events,,,,,,,,,,
6, 1, 1, None, 0.45, 164.4, 500, -8, 7, 157, 174, Poorly resolved set of linear features of unknown origin. Additional features: fresh impact craters; dark terrain; numerous degraded impact craters, Resolve nature and origin of linear features; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 2, None, -44.5, 310.3, 400, -55, -41, 300, 315, Sets of concentric furrows possibly related to Adlinda (#5.7). Additional features: superimposed fresh impact craters; numerous more or less degraded impact craters, Study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
6, 1, 3, None, -18.5, 10.7, 600, -30, -13, 4, 23, Sets of linear features of unknown origin. Additional features: fresh impact craters; dark terrain; numerous degraded impact craters, Study possible relationship of linear features with Lofn (#5.7); compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 4, Valhalla II, 31.7, 291.3, 300, 27, 40, 275, 288, Sets of grooves in the outer portion of Valhalla (#4.6.2). Additional features: fresh impact craters; numerous more or less degraded impact craters, Characterize morphology of outer ring of Valhalla; study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 5, None, -5, 76, 600, -17, 2, 65, 85, Set of N/S trending grooves of unknown origin; which extend to the north to Kol Facula (#4.5.1). Additional features: dark terrain; numerous more or less degraded impact craters, Study possible relationship of linear features with Kol Facula (#4.5.1) and linear features of #6.1.6; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 6, None, 11.7, 76.4, 400, 7, 25, 70, 87, Set of N/S trending grooves of unknown origin; which extend to the south to Kol Facula (#4.5.1). Additional features: dark terrain; numerous more or less degraded impact craters, Study possible relationship of linear features with Kol Facula (#4.5.1); compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 7, None, -42, 25.2, 550, -51, -31, 24, 48, Poorly resolved sets of linear features NE of Heimdall (#5.8). Additional features: dark terrain; numerous more or less degraded impact craters, Study possible relationship of linear features with Lofn (#5.7) or Heimdall (#5.8); compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study fresh impact craters; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0
6, 1, 8, Asgard II, 18.6, 232.1, 300, 20, 40, 233, 253, Sets of grooves in the outer portion of Asgard (#4.6.1). Additional features: dark terrain; numerous more or less degraded impact craters, Characterize morphology of outer rings of Asgard; study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
6, 1, 9, Valhalla III, 6.9, 324.5, 300, -1, 9.5, 323, 334, Concentric rings associated to Valhalla (#4.6.2); Additional features: dark terrain; numerous more or less degraded small impact craters, Characterize morphology of outer ring; study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
# 6, 2, #e4b015, Bands, ---, ---, ---, ---, ---, ---, ---, ---, ---,,,,,,,,,,
